,art_id,art_content,art_comment,art_date_grabbed
10,86,,9,2018-09-23 23:34:04
11,87,"When the southern Italian city of Matera found out it had been selected as the 2019 European capital of culture , its ancient streets echoed with cheers. Thousands gathered in October 2014 to watch the announcement live from Brussels in a central piazza. “It reminded me of the day when Napoli announced it had acquired Diego Maradona,” said Daniele Kihlgren, an Italian-Swedish businessman who has invested in a hotel in Matera. “The same uproar was heard throughout the town.”  But the euphoria was quickly replaced by a sense of anxiety. “After the celebrations,” said Eustachio Nicoletti, Matera’s secretary for Italy’s largest labour union, the CGIL, “people began to wonder, ‘and what the hell are we going to do now?’”  Today, with little over three months remaining until 2019, that concern has become a real fear that the city’s big opportunity could instead be a colossal failure. Local organisations and business owners are warning that the city will simply not be ready. Rome and Brussels secured €400m (£360m) to organise the year’s events, money that was supposed to pay for restoring buildings and repairing streets in a place famed for its stunning but dilapidated beauty and history of dire poverty.  But, according to the unions, most of the money is still trapped in the labyrinth of Italian bureaucracy and has not yet been spent.  “Of the seven buildings that should have housed the cultural events, at least five will not be ready in time for 2019,” said Nicoletti.   Interactive: map of Matera   Concern also surrounds accessibility: half of the funding, about €200m, had been allocated for the construction of a new railway line. The station is there – it was built in 1986 – but there is no railway. Matera can still be reached only by a slow, secondary rail line from Bari, which takes nearly two hours to cover 60km, while work to complete the Bradanica highway, connecting the city with the north of the Basilicata region , began almost 40 years ago and has yet to be completed.  “The truth is that the disregard for not meeting deadlines was already well known in 2014,” said Enzo Acito, former director of tourism for Matera. “Everyone knew that with the snail’s pace of Italian bureaucracy and the typical waiting times for the construction industry in Italy , the facilities would never be completed by 2019.”  Matera was the first southern Italian city to be recognised as a European capital of culture . But, like many towns across the region, it bears the wounds of structural deficiencies, such as high youth unemployment, alleged corruption and obscure political manoeuvrings. In July the president of the Basilicata region, Marcello Pittella, was placed under house arrest by prosecutors in Matera for alleged involvement in rigging healthcare contracts. He denies all the accusations against him.  Such problems, often chronic in the south of Italy, are exacerbated by historic and deeply rooted difficulties in a town which was virtually abandoned for more than 40 years after the second world war. Cut off from the modern economy, Matera was one of Europe’s poorest cities, where families lived in grottoes, the “Sassi” (literally stones) carved out of the limestone that dated back to Matera’s prehistoric era.",9,2018-09-23 23:34:08
12,88,  Heidi Stephens   Sat 22 Sep 2018 20.36 BST   First published on Sat 22 Sep 2018 17.44 BST,9,2018-09-23 23:34:11
13,89,"B orn in West Yorkshire ,  Jodie Whittaker , 36 ,  graduated from the Guildhall School of Music and Drama in 2005. The same year, she made her professional stage debut at Shakespeare’s Globe in The Storm ; in 2006 she earned best newcomer nominations for her performance in the film Venus . She appeared in the critically acclaimed ITV drama Broadchurch and is the first female Doctor, in the new series of Doctor Who, starting on 7 October. She is married with a daughter and lives in London.  What is your earliest memory? I fell into a pool in Benidorm when I was about three, and in the panic I was convinced a mysterious giant got me out: it was my father.  What is the trait you most deplore in yourself? Crippling paranoia.  What is the trait you most deplore in others? Passive aggressiveness. If you’re annoyed, be annoyed – don’t just save it up.  What was your most embarrassing moment? My brother read out my diary on the school bus when I was 14. He’s two years older than me, and it was about a boy I fancied who was on the bus.  If you could bring something extinct back to life, what would you choose? My nephew, Harry Whittaker.  What is your most treasured possession? Two sets of his pyjamas.  Who would play you in the film of your life? Depending on the budget, either Kerry Katona or Emily Mortimer.  What is your favourite smell? Wine.  What is your guiltiest pleasure? Drinking wine every day. I have half a bottle a day. There’s a lot of pleasure in it and a lot of guilt, so it ticks both boxes.  What do you most dislike about your appearance? I’ve got a confused frown line between my eyes. It’s so deep, it’s like a bum. I wouldn’t change it for the world, but do I like it? No.  What does love feel like? A tumble dryer.  What was the best kiss of your life? On a balcony in Hackney on a New Year’s Eve in the 2000s.  Who would you invite to your dream dinner party? Heston Blumenthal to cook, Will Champion (the drummer in Coldplay: I love Coldplay), my five lifers (best friends), Michelle Obama and Beyoncé.",9,2018-09-23 23:34:19
14,90,"E xperienced journalists are rarely taken by surprise by the impact of their work. We know exactly what we are doing and why. As I trudged down the marble steps of the George V Hotel in Paris, one chilly spring evening in 2017, I knew what I was going to do and I knew what the impact would be. If I claimed otherwise, attempted to feign innocence, I would be lying.  OK, I didn’t quite anticipate the international newspaper headlines and the talking points and the outbreaks of glee. But if, in the days leading up to the publication of my review of Le Cinq on 9 April 2017 , anyone had asked me what I thought the response was going to be, I would have been straight with them. I would have told them it was probably going to be the most read article of my career. So it proved.  The review was the most read thing across the entire Guardian site for the whole of that Sunday. And for the day after that. And for much of the day after that. An average restaurant review of mine is viewed 75,000 times and shared 1,000 times via social media platforms. A popular review will break through 100,000 page views. My review of Le Cinq was viewed about 2.2 million times and shared more than 114,000 times. Soon newspapers from New York to Mumbai were writing stories. The high point for me came when the American restaurant blog site Eater ran a post headed: The Worst Lines of Jay Rayner’s Le Cinq Review, With Cats . It was just that: photos of cats, with speech bubbles filled with quotes from the review.",9,2018-09-23 23:34:22
15,91,"Please can you recommend some books that will show me which way to turn in the full-on storm of an all-questioning midlife crisis? Anonymous, 46, London  Sam Leith, author, journalist and literary editor of the Spectator , writes: I’m a bit in the dark, here, questioner. I don’t even know if you’re male or female. And what sort of midlife crisis are we talking about? Sexual redundancy? Professional disappointment? Gibbering fear of death? The “full-on storm” suggests there’s more to this one than buying a leather jacket. Good news: all literature is your friend, one way and another.  The original literary midlife crisis is Dante: “In the middle of our journey of life, I came to myself, in a dark wood, where the direct way was lost...” Men have had a lot to say about midlife crises ever since. Martin Amis’s The Information (“Cities at night, I feel, contain men who cry in their sleep and then say nothing”) has a stab at all three of the categories I mention above. Hanif Kureishi’s Intimacy is another classic of the genre. And the 20th-century male American canon – Updike, Roth, Yates, Richard Ford, etc – is one big bourbon-soaked nervous breakdown.  But women have midlife crises too. Anne Tyler spreads them among her characters in A Spool of Blue Thread (as does Anne Enright in The Green Road ); and dumps it on one in Ladder of Years . Germaine Greer’s The Change is a nonfictional approach of the most obvious sort; Marina Benjamin’s recent The Middlepause offers philosophical balm. There: saved you from Iron John and Eat, Pray, Love .  Submit your question for Book Clinic below or email bookclinic@observer.co.uk",9,2018-09-23 23:34:25
16,92,"S paceflight will mark an important milestone this year – when Nasa celebrates the 50th anniversary of US astronauts reaching the moon. In December 1968 Frank Borman, Jim Lovell and Bill Anders – on Apollo 8 – swept over the lunar surface and captured bright blue images of Earth rising above the grey plains of the moon. It was one of the most dramatic space missions ever flown. Manned landings followed, but after a few years, the US lost interest in lunar space flights.  But now Nasa has revealed plans to return to the Moon and has asked European scientists and industry leaders to join the agency in a bold plan aimed at rebooting humanity’s conquest of the solar system - in the form of an international manned station that will orbit the moon within the next decade.  The proposed station, the Lunar Orbital Platform-Gateway – known as Gateway – will allow astronauts to develop techniques that will open up the lunar surface to exploration and exploitation. At the same time, the station will help humans hone survival skills in deep space in preparation for future manned missions to Mars, says Nasa.  Taking part in the station’s construction would cost Europe more than £1bn and a decision on whether to become involved will be taken at a meeting of European science ministers next year. If ministers give the go-ahead, the European Space Agency (Esa) – of which Britain is a key member – would then join other international partners that Nasa is recruiting to its Gateway project. These include the space agencies of Russia, Canada and Japan.  “Essentially, Gateway will be a robotic outpost that will be visited by groups of astronauts – initially for weeks and then for months at a time,” says David Parker, director of human spaceflight and robotic exploration for Esa and a keen supporter of the project. “They will learn how to survive in deep space and deal with problems such as radiation and meteorites. At the same time they will also direct robot craft that will explore the moon’s surface.”   The lunar rover's precision tools    A go-ahead for Gateway would also bring to an end the hiatus in manned space exploration that has lasted for almost a decade. Since the grounding of the space shuttle, human spaceflights have been restricted to launches of Russia’s Soyuz space capsule, which is used to ferry crew and supplies to the International Space Station (ISS), and the few missions taken by taikonauts on China’s fledgling spacecraft.  Gateway should change that – and it will do so by taking advantage of a major advance in US space engineering which will occur when Nasa begins flights with its new deep-space capsule, Orion , and its launcher, the Space Launch System in a few years. These will form the core components of Gateway along with modules similar to those now used as stores and crew quarters on the ISS (see box), though Nasa stresses Gateway will be considerably smaller than their current Earth-orbiting space station.  And key to operation of their lunar station will be the extraction, from lunar soil, of minerals, chemicals, and – most important – water. “Recent evidence suggests comets and asteroids have bombarded the moon for billions of years, depositing water – in the form of ice – on to its polar regions,” said Mahesh Anand, reader in planetary science and exploration at the Open University.  Scientists like Anand believe it should be possible to use that water to turn the moon into a refuelling station for long-term missions to Mars and beyond. Ice would be harvested, melted and electrolysed – using power generated by solar panels – into its hydrogen and oxygen components. “You could then use that hydrogen and oxygen as liquid propellents,” added Anand. “That is what powered the space shuttle’s main engines after all. Then you could use the moon as a refuelling post to power spaceships to Mars.”  It remains a far-off goal. For a start, astronomers do not have precise details of the most promising places to find water on the moon. Finding those sources will not be easy, but not impossible – thanks to Gateway. It will orbit the moon from a height of a few hundred miles and from there astronauts will control robot rovers remotely and send them trundling over the lunar surface to pinpoint areas rich in water ice. Samples could even be sent back to the space station by unmanned spacecraft.  Scientists at Esa are already working with Canadian and Japanese space agencies to prepare a robot mission called Heracles, which would travel to the moon sometime in the next decade and which would use the Gateway as a halfway house to store lunar samples before being sent back to Earth. “It will be much easier to drive a robot rover from a height of only a few hundred miles above the moon than from the Earth which is 250,000 miles away,” says Anand. “It will take only a fraction of a second to send a signal and get a response. By contrast it would take several seconds if you are on Earth, making the control of a lunar rover much, much more difficult.”  European astronauts recently guided an automated rover on Earth using controls in the ISS – which orbits the Earth at roughly the same height that Gateway would orbit the moon. The technology is therefore already well tested, says Esa.  “The moon has lain virtually undisturbed for the last 4.5bn years,” says Parker. “It is a museum of the history of our solar system. And yes, we visited it when we briefly landed Apollo spacecraft there. However, that was the equivalent of going to a museum, heading straight to the gift shop and then leaving. It is the dusty corners of a museum where you find the really interesting stuff – and that is where we are going to go with Gateway.”  This point is backed by James Carpenter , a member of Esa’s lunar exploration team. “The major scientific impact of Gateway will undoubtedly come from the way it will open up access to the lunar surface,” he says. “However, there are many other areas of research that will benefit.",9,2018-09-23 23:34:32
17,93,"Sir Geoff Palmer, Scotland’s first black professor, has welcomed a groundbreaking report into how Glasgow University benefited from the proceeds of slavery. He said it posed “uncomfortable questions” for British society as a whole and called on institutions that had profited from the slave trade to make amends.  The report , published last week by Glasgow University, is based on more than two years of research and reveals that the institution benefited directly from the slave trade in Africa and the Caribbean in the 18th and 19th centuries to the tune of almost £200m in today’s money.  The university has now launched a wide-ranging and ambitious “reparative justice programme”. Ironically, the university was at the forefront of the movement in the 19th century to abolish slavery. It will now create a centre for the study of slavery and a memorial or tribute in the name of the enslaved. It is also working to establish ties with the University of the West Indies.  The report’s findings, though, carry profound implications far beyond the cloistered spaces of this 546-year-old university. The unrelenting and forensic detail of the study also raises questions about how the wealth of the city of Glasgow and other parts of Scotland was derived.  “Some Scots have told me they’re mystified why no one told them any of this, but who did they think made the tobacco?” said Palmer, professor emeritus at the school of life sciences at Heriot-Watt University in Edinburgh. “Now, I think the country faces a very uncomfortable question which the Glasgow University report has raised once more: to what extent did slavery make Scotland great?”",3,2018-09-23 23:34:35
18,94,"    Mechanical exoskeletons, bionic limbs, uploadable brains: six experts’ visions of 2118  by  Richard Godwin",9,2018-09-23 23:34:38
19,95,"P olitics before the crash was based on the understanding that you couldn’t have it all. The free-market right had won the economic war, ran the cliche of the time, while the left had won the culture war. Centre-left governments were “intensely relaxed about people getting filthy rich”, said Peter Mandelson, “ as long as they pay their taxes ”. Not only leftish politicians, however, but many on the centre-right were not remotely relaxed about racism, sexism and homophobia. On these issues at least, cultural conservatives, as we so euphemistically call them, had to accept that the world had changed.  Now Britain is a country where political movements believe they need not accept any limits on their ambitions. They do not just want to beat their opponents – they want to crush them. They do not just want to win – they yearn for the religious ecstasy of victories achieved without compromise. It is barely noticed that centrists are just as likely as the extremists of the Brexit right and far left to turn into Cosmo girls and demand to have it all . The people’s vote movement believes, with ample reason, that the Leave campaign was a confederacy of charlatans that sold the public a pack of lies. Reasonably and patriotically, it is trying to protect the country by reversing the damage. It is not a criticism of an idea with which I have every sympathy to say that it has turned away from compromise.  After the referendum, there was talk of making the best of Brexit by campaigning to keep Britain in the single market and customs union . It would protect living standards and maintain peace in Ireland, while accepting some EU laws and freedom of movement in return.  The “ Norway option ” is what compromises are meant to be: a deal that fully satisfies no one. It might have won over tepid supporters of Leave, who were not prepared to have their futures sacrificed on the altar of British nationalism.",3,2018-09-23 23:34:45
20,96, ,9,2018-09-23 23:34:48
21,97," What became of fashion's fabulous three: McQueen, Blow and Annabelle Neilson?",3,2018-09-23 23:34:51
22,98,"I love primary schools, art galleries and London, so it’s not surprising that the news that artist Steve McQueen is leading a team photographing every year 3 class in the city, with the results exhibited in Tate Britain next autumn, filled me with cheer. Never mind that neither of my daughters, nor any of the London children I know best, is the right age – you have to have an eighth birthday between this month and August 2019.  Year 3 is the exact middle of primary school, if you count from reception to year 6. With all the capital’s 2,410 primaries invited to take part, not just parents but anyone with an interest in the city’s future will surely be intrigued by McQueen’s answer to what he called the “quite urgent” question of who, in the year of Brexit, we are.  Like Michael Apted in his classic Up documentary series , which followed a group of children from seven on, McQueen is explicit about his wish to explore issues of identity. “When you first start education, things start to change. When you start being aware of gender, when you start being aware of race. When you start being aware of class … it can actually change your thoughts forever,” he said. In a photo released with the announcement, McQueen’s is one of a handful of small brown faces in his class at Little Ealing primary, west London, in 1976.",9,2018-09-23 23:34:54
